#GTO.PA;AXL.PA
RY.NO.U;RY-NOU
RY.NO.V;RY-NOV
RY.NO.X;RY-NOX
RY.NO.Y;RY-NOY
RY.NT.A;RY-NTA
RY.NT.B;RY-NTB
RY.NT.E;RY-NTE
RY.NT.F;RY-NTF
RY.NT.G;RY-NTG
RY.NT.H;RY-NTH
RY.NT.J;RY-NTJ
RY.NT.K;RY-NTK
RY.NT.L;RY-NTL
RY.NT.M;RY-NTM
RY.NT.P;RY-NTP
RY.NT.Q;RY-NTQ
RY.NT.R;RY-NTR
RY.NT.S;RY-NTS
RY.NT.T;RY-NTT
RY.NT.X;RY-NTX
RY.NT.Y;RY-NTY
RY.NT.Z;RY-NTZ
RY.PR.A;RY-PA
RY.PR.B;RY-PB
RY.PR.C;RY-PC
RY.PR.D;RY-PD
RY.PR.E;RY-PE
RY.PR.F;RY-PF
RY.PR.K;RY-PK
RY.PR.W;RY-PW
RYL.DB.A;RYL-DBA
RYL.DB.B;RYL-DBB
RYL.DB.C;RYL-DBC
RYL.UN;RYL-UN
RYT.NT.M;RYT-NTM
RYT.NT.P;RYT-NTP
SBA.M;SBA-M
SBC.PR.A;SBC-PA
SCF.DB.A;SCF-DBA
SCI.UN;SCI-UN
SCL.A;SCL-A
SCL.B;SCL-B
SCO.UN;SCO-UN
SCU.UN;SCU-UN
SDE.UN;SDE-UN
SDF.UN;SDF-UN
SDG.UN;SDG-UN
SDL.UN;SDL-UN
SDM.WT;SDM-WT
SDT.UN;SDT-UN
SEF.UN;SEF-UN
SFG.UN;SFG-UN
SFK.DB;SFK-DB
SFK.UN;SFK-UN
SFO.PR.A;SFO-PA
SFO.UN;SFO-UN
SG.UN;SG-UN
SGA.WT;SGA-WT
SGT.UN;SGT-UN
SHN.UN;SHN-UN
SIA.U;SIA-U
SIA.UN;SIA-UN
SIF.UN;SIF-UN
SIN.UN;SIN-UN
SIT.UN;SIT-UN
SIX.UN;SIX-UN
SJR.B;SJR-B
SKA.UN;SKA-UN
SKG.UN;SKG-UN
SKR.WT;SKR-WT
SLE.M;SLE-M
SLF.PR.A;SLF-PA
SLF.PR.B;SLF-PB
SLF.PR.C;SLF-PC
SLF.PR.D;SLF-PD
SLF.PR.E;SLF-PE
SLN.UN;SLN-UN
SLP.UN;SLP-UN
SLW.WT;SLW-WT
SLW.WT.A;SLW-WTA
SLW.WT.B;SLW-WTB
SMC.M;SMC-M
SMX.WT;SMX-WT
SND.DB;SND-DB
SND.DB.A;SND-DBA
SND.UN;SND-UN
SNF.UN;SNF-UN
SNH.PR.U;SNH-PU
SNH.U;SNH-U
SNP.PR.V;SNP-PV
SNP.U;SNP-U
SOM.UN;SOM-UN
